Data da Coleta,Regiao - Sigla,Estado - Sigla,Municipio,Produto,Data da Coleta,Valor de Venda,Bandeira
2023-01-05,SE,SP,AMPARO,GASOLINA,2023-01-05,"5,49",IPIRANGA
2023-01-05,SE,SP,AMPARO,GASOLINA,2023-01-05,"5,49",RAIZEN
2023-01-05,SE,SP,AMPARO,GASOLINA,2023-01-05,"5,46",IPIRANGA
2023-01-05,SE,SP,AMPARO,GASOLINA,2023-01-05,"5,59",IPIRANGA
2023-01-05,SE,SP,AMPARO,GASOLINA,2023-01-05,"5,49",ALESAT
2023-01-05,SE,SP,ATIBAIA,GASOLINA,2023-01-05,"5,39",IPIRANGA
2023-01-05,SE,SP,ATIBAIA,GASOLINA,2023-01-05,"5,59",VIBRA ENERGIA
2023-01-05,SE,SP,ATIBAIA,GASOLINA,2023-01-05,"4,99",BRANCA
2023-01-05,SE,SP,ATIBAIA,GASOLINA,2023-01-05,"5,36",BRANCA
2023-01-05,SE,SP,ATIBAIA,GASOLINA,2023-01-05,"5,19",BRANCA
2023-01-05,SE,SP,ATIBAIA,GASOLINA,2023-01-05,"5,38",RAIZEN
2023-01-05,SE,SP,ATIBAIA,GASOLINA,2023-01-05,"5,09",BRANCA
2023-01-05,SE,SP,ATIBAIA,GASOLINA,2023-01-05,"5,27",BRANCA
2023-01-05,SE,SP,ATIBAIA,GASOLINA,2023-01-05,"4,99",BRANCA
2023-01-05,SE,SP,BAURU,GASOLINA,2023-01-05,"5,39",VIBRA ENERGIA
2023-01-05,SE,SP,BAURU,GASOLINA,2023-01-05,"5,39",RAIZEN
2023-01-05,SE,SP,BAURU,GASOLINA,2023-01-05,"5,39",RAIZEN
2023-01-05,SE,SP,BAURU,GASOLINA,2023-01-05,"5,39",VIBRA ENERGIA
2023-01-05,SE,SP,BAURU,GASOLINA,2023-01-05,"5,39",RAIZEN
2023-01-05,SE,SP,BAURU,GASOLINA,2023-01-05,"5,39",BRANCA
2023-01-05,SE,SP,BAURU,GASOLINA,2023-01-05,"5,49",VIBRA ENERGIA
2023-01-05,SE,SP,BAURU,GASOLINA,2023-01-05,"5,29",RAIZEN
2023-01-05,SE,SP,BAURU,GASOLINA,2023-01-05,"4,78",BRANCA
2023-01-05,SE,SP,BAURU,GASOLINA,2023-01-05,"5,39",IPIRANGA
2023-01-05,SE,SP,BAURU,GASOLINA,2023-01-05,"5,29",RAIZEN
2023-01-05,SE,SP,BAURU,GASOLINA,2023-01-05,"5,24",BRANCA
